Date,Open,High,Low,Close,Adj Close,Volume
2012-11-06,274.742004,274.742004,274.742004,274.742004,274.742004,0
2012-11-07,271.044006,271.044006,271.044006,271.044006,271.044006,0
2012-11-08,270.583008,270.583008,270.583008,270.583008,270.583008,0
2012-11-09,270.269989,270.269989,270.269989,270.269989,270.269989,0
2012-11-12,269.532013,269.532013,269.532013,269.532013,269.532013,0
2012-11-13,270.601013,270.601013,270.601013,270.601013,270.601013,0
2012-11-14,268.136993,268.136993,268.136993,268.136993,268.136993,0
2012-11-15,265.524994,265.524994,265.524994,265.524994,265.524994,0
2012-11-16,262.859985,262.859985,262.859985,262.859985,262.859985,0
2012-11-19,268.584991,268.584991,268.584991,268.584991,268.584991,0
2012-11-20,269.488007,269.488007,269.488007,269.488007,269.488007,0
2012-11-21,270.109985,270.109985,270.109985,270.109985,270.109985,0
2012-11-22,271.700012,271.700012,271.700012,271.700012,271.700012,0
2012-11-23,273.332001,273.332001,273.332001,273.332001,273.332001,0
2012-11-26,272.003998,272.003998,272.003998,272.003998,272.003998,0
2012-11-27,272.863007,272.863007,272.863007,272.863007,272.863007,0
2012-11-28,273.151001,273.151001,273.151001,273.151001,273.151001,0
2012-11-29,276.307007,276.307007,276.307007,276.307007,276.307007,0
2012-11-30,275.779999,275.779999,275.779999,275.779999,275.779999,0
2012-12-03,276.130005,276.130005,276.130005,276.130005,276.130005,0
2012-12-04,276.239990,276.239990,276.239990,276.239990,276.239990,0
2012-12-05,276.915009,276.915009,276.915009,276.915009,276.915009,0
2012-12-06,278.816986,278.816986,278.816986,278.816986,278.816986,0
2012-12-07,279.169006,279.169006,279.169006,279.169006,279.169006,0
2012-12-10,279.549988,279.549988,279.549988,279.549988,279.549988,0
2012-12-11,280.489014,280.489014,280.489014,280.489014,280.489014,0
2012-12-12,280.644012,280.644012,280.644012,280.644012,280.644012,0
2012-12-13,279.631989,279.631989,279.631989,279.631989,279.631989,0
2012-12-14,279.395996,279.395996,279.395996,279.395996,279.395996,0
2012-12-17,279.184998,279.184998,279.184998,279.184998,279.184998,0
2012-12-18,280.463013,280.463013,280.463013,280.463013,280.463013,0
2012-12-19,281.648010,281.648010,281.648010,281.648010,281.648010,0
2012-12-20,281.808014,281.808014,281.808014,281.808014,281.808014,0
2012-12-21,280.946991,280.946991,280.946991,280.946991,280.946991,0
2012-12-27,280.601013,280.601013,280.601013,280.601013,280.601013,0
2012-12-28,278.774994,278.774994,278.774994,278.774994,278.774994,0
2013-01-03,286.830994,286.830994,286.830994,286.830994,286.830994,0
2013-01-04,287.826996,287.826996,287.826996,287.826996,287.826996,0
2013-01-07,286.632996,286.632996,286.632996,286.632996,286.632996,0
2013-01-08,286.251007,286.251007,286.251007,286.251007,286.251007,0
2013-01-09,288.223999,288.223999,288.223999,288.223999,288.223999,0
2013-01-10,287.442993,287.442993,287.442993,287.442993,287.442993,0
2013-01-11,287.079987,287.079987,287.079987,287.079987,287.079987,0
2013-01-14,286.007996,286.007996,286.007996,286.007996,286.007996,0
