Date, Open, High, Low, Close
10/26/16, 342.80, 342.80, 339.83, 341.76
10/25/16, 344.61, 345.65, 342.58, 343.07
10/24/16, 344.95, 347.03, 344.19, 344.26
10/21/16, 344.53, 345.44, 343.28, 344.29
10/20/16, 343.69, 344.96, 340.76, 344.29
10/19/16, 342.28, 344.25, 341.24, 343.64
10/18/16, 338.65, 342.76, 338.65, 342.48
10/17/16, 339.57, 339.88, 337.22, 337.42
10/14/16, 336.27, 341.36, 336.27, 339.95
10/13/16, 337.49, 337.49, 333.71, 335.62
10/12/16, 340.38, 340.89, 338.49, 338.56
10/11/16, 341.61, 343.01, 339.89, 340.17
10/10/16, 339.21, 342.30, 337.68, 341.98
10/07/16, 342.11, 342.46, 338.90, 339.64
10/06/16, 344.70, 345.45, 342.82, 342.82
10/05/16, 344.17, 344.81, 342.03, 344.20
10/04/16, 343.36, 347.29, 343.29, 346.10
10/03/16, 342.18, 343.78, 341.98, 343.23
09/30/16, 341.27, 343.54, 336.74, 342.92
09/29/16, 344.09, 346.25, 341.91, 342.72
09/28/16, 340.97, 344.31, 340.97, 342.57
09/27/16, 340.94, 342.21, 337.61, 340.19
09/26/16, 344.27, 344.27, 339.68, 340.00
09/23/16, 347.33, 347.33, 344.75, 345.34
09/22/16, 343.49, 348.79, 343.49, 347.86
09/21/16, 342.83, 344.90, 342.25, 342.46
09/20/16, 340.79, 342.78, 340.29, 341.00
09/19/16, 338.79, 341.58, 338.79, 341.27
09/16/16, 340.38, 340.78, 337.28, 337.82
09/15/16, 338.30, 340.64, 337.85, 340.34
09/14/16, 339.71, 340.62, 338.26, 338.42
09/13/16, 342.74, 344.14, 338.72, 338.72
09/12/16, 343.62, 343.62, 338.50, 342.23
09/09/16, 348.68, 348.88, 344.90, 345.52
09/08/16, 350.15, 351.52, 346.34, 349.32
09/07/16, 349.56, 351.01, 348.51, 350.46
09/06/16, 351.32, 351.56, 349.09, 349.46
09/05/16, 350.70, 351.77, 350.45, 350.62
09/02/16, 344.04, 350.85, 343.53, 350.44
09/01/16, 344.21, 346.90, 342.72, 343.66
08/31/16, 344.54, 346.03, 343.42, 343.53
08/30/16, 343.48, 345.86, 343.48, 344.75
08/29/16, 343.24, 343.47, 341.37, 343.20
08/26/16, 341.92, 344.29, 340.95, 343.72
08/25/16, 343.88, 343.88, 340.80, 342.02
08/24/16, 342.76, 345.70, 341.56, 344.93
08/23/16, 341.23, 344.26, 341.23, 343.60
